time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-08 00:00:00+00:00,0,0,8,5
2022-08-09 00:00:00+00:00,2,2,258,28
2022-08-10 00:00:00+00:00,0,0,131,41
2022-08-11 00:00:00+00:00,1,1,194,39
2022-08-12 00:00:00+00:00,5,4,127,32
2022-08-13 00:00:00+00:00,2,1,24,12
2022-08-14 00:00:00+00:00,0,0,21,11
2022-08-15 00:00:00+00:00,2,2,135,35
2022-08-16 00:00:00+00:00,17,7,180,38
2022-08-17 00:00:00+00:00,1,1,161,40
2022-08-18 00:00:00+00:00,0,0,165,42
2022-08-19 00:00:00+00:00,5,4,174,37
2022-08-20 00:00:00+00:00,5,3,41,15
2022-08-21 00:00:00+00:00,2,2,90,20
2022-08-22 00:00:00+00:00,9,8,170,38
2022-08-23 00:00:00+00:00,6,3,158,36
2022-08-24 00:00:00+00:00,5,5,220,31
2022-08-25 00:00:00+00:00,8,8,223,47
2022-08-26 00:00:00+00:00,2,2,136,31
2022-08-27 00:00:00+00:00,5,5,56,14
2022-08-28 00:00:00+00:00,2,2,71,14
2022-08-29 00:00:00+00:00,9,7,70,30
2022-08-30 00:00:00+00:00,7,3,77,26
2022-08-31 00:00:00+00:00,4,4,120,30
2022-09-01 00:00:00+00:00,4,4,129,40
2022-09-02 00:00:00+00:00,4,4,61,27
2022-09-03 00:00:00+00:00,3,3,25,7
2022-09-04 00:00:00+00:00,2,2,39,13
2022-09-05 00:00:00+00:00,2,2,101,24
2022-09-06 00:00:00+00:00,3,3,248,36
2022-09-07 00:00:00+00:00,7,6,125,38
2022-09-08 00:00:00+00:00,4,4,108,36
2022-09-09 00:00:00+00:00,17,4,90,29
2022-09-10 00:00:00+00:00,4,4,99,7
2022-09-11 00:00:00+00:00,3,3,45,11
2022-09-12 00:00:00+00:00,6,5,80,22
2022-09-13 00:00:00+00:00,4,4,72,36
2022-09-14 00:00:00+00:00,2,2,87,19
2022-09-15 00:00:00+00:00,8,8,58,27
2022-09-16 00:00:00+00:00,3,3,119,30
2022-09-17 00:00:00+00:00,3,3,101,8
2022-09-18 00:00:00+00:00,5,4,157,16
2022-09-19 00:00:00+00:00,3,3,161,36
2022-09-20 00:00:00+00:00,5,5,141,32
2022-09-21 00:00:00+00:00,4,4,158,38
2022-09-22 00:00:00+00:00,4,4,126,40
2022-09-23 00:00:00+00:00,10,7,318,41
2022-09-24 00:00:00+00:00,6,6,129,16
2022-09-25 00:00:00+00:00,5,5,59,15
2022-09-26 00:00:00+00:00,6,5,106,39
2022-09-27 00:00:00+00:00,5,5,130,26
2022-09-28 00:00:00+00:00,10,6,175,43
2022-09-29 00:00:00+00:00,11,6,119,33
2022-09-30 00:00:00+00:00,8,6,183,39
2022-10-01 00:00:00+00:00,5,5,47,15
2022-10-02 00:00:00+00:00,2,2,25,12
2022-10-03 00:00:00+00:00,9,4,217,48
2022-10-04 00:00:00+00:00,10,7,267,78
2022-10-05 00:00:00+00:00,16,6,243,43
2022-10-06 00:00:00+00:00,2,2,209,50
2022-10-07 00:00:00+00:00,12,8,155,45
2022-10-08 00:00:00+00:00,4,4,57,14
2022-10-09 00:00:00+00:00,3,3,62,11
2022-10-10 00:00:00+00:00,5,5,163,25
2022-10-11 00:00:00+00:00,4,4,144,34
2022-10-12 00:00:00+00:00,5,5,65,31
2022-10-13 00:00:00+00:00,4,4,142,37
2022-10-14 00:00:00+00:00,3,3,48,24
2022-10-15 00:00:00+00:00,6,6,98,15
2022-10-16 00:00:00+00:00,3,3,75,14
2022-10-17 00:00:00+00:00,23,4,118,40
2022-10-18 00:00:00+00:00,4,4,117,38
2022-10-19 00:00:00+00:00,2,2,204,43
2022-10-20 00:00:00+00:00,6,5,210,43
2022-10-21 00:00:00+00:00,18,7,296,40
2022-10-22 00:00:00+00:00,5,5,130,13
2022-10-23 00:00:00+00:00,2,2,37,14
2022-10-24 00:00:00+00:00,3,3,156,33
2022-10-25 00:00:00+00:00,11,3,140,39
2022-10-26 00:00:00+00:00,19,8,153,43
2022-10-27 00:00:00+00:00,21,11,255,44
2022-10-28 00:00:00+00:00,4,4,186,34
2022-10-29 00:00:00+00:00,4,4,37,13
2022-10-30 00:00:00+00:00,4,4,74,15
2022-10-31 00:00:00+00:00,3,3,98,31
2022-11-01 00:00:00+00:00,4,4,58,25
2022-11-02 00:00:00+00:00,2,2,132,61
2022-11-03 00:00:00+00:00,4,3,96,40
2022-11-04 00:00:00+00:00,5,5,102,34
2022-11-05 00:00:00+00:00,4,4,41,12
2022-11-06 00:00:00+00:00,2,2,17,13
2022-11-07 00:00:00+00:00,5,5,266,28
2022-11-08 00:00:00+00:00,11,10,147,29
2022-11-09 00:00:00+00:00,10,8,131,33
2022-11-10 00:00:00+00:00,8,6,93,20
2022-11-11 00:00:00+00:00,5,5,71,22
2022-11-12 00:00:00+00:00,3,3,25,14
2022-11-13 00:00:00+00:00,3,3,28,15
2022-11-14 00:00:00+00:00,5,4,118,33
2022-11-15 00:00:00+00:00,2,2,115,31
2022-11-16 00:00:00+00:00,4,4,167,39
2022-11-17 00:00:00+00:00,2,2,91,39
2022-11-18 00:00:00+00:00,4,4,122,28
2022-11-19 00:00:00+00:00,2,2,26,15
2022-11-20 00:00:00+00:00,5,5,28,14
2022-11-21 00:00:00+00:00,6,5,141,34
2022-11-22 00:00:00+00:00,5,3,82,36
2022-11-23 00:00:00+00:00,2,2,93,25
